,ementa,acao
0,DISPÕE SOBRE A IMPLANTAÇÃO DE ESTUFAS COM HORTAS PRODUZIDAS COM GARRAFAS PET NAS ESCOLAS MUNICIPAIS DE MARABÁ E DA OUTRAS PROVIDÊNCIAS.,Implantar estufas com hortas produzidas com garrafas PET nas escolas municipais.
1,"INSTITUI A INCLUSÃO DA LÍNGUA BRASILEIRA DE SINAIS – LIBRAS, NO CURRÍCULO ESCOLAR NO ÂMBITO DA REDE MUNICIPAL DE EDUCAÇÃO DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Incluir a Língua Brasileira de Sinais (LIBRAS) no currículo escolar da rede municipal de ensino.
2,"CONCEDE O DIREITO À MEIA-ENTRADA EM EVENTOS CULTURAIS, ESPORTIVOS E DE LAZER, DURANTE O MÊS DE SETEMBRO, AOS PROFESSORES QUE REALIZAREM CURSO DE FORMAÇÃO CONTINUADA NA ÁREA DE LIBRAS E EDUCAÇÃO ESPECIAL COM CARGA HORÁRIA MÍNIMA DE 60 HORAS, E DÁ OUTRAS PROVIDÊNCIAS.","Conceder meia-entrada em eventos culturais, esportivos e de lazer, durante o mês de setembro, aos professores que realizarem curso de formação continuada em LIBRAS e educação especial com carga horária mínima de 60 horas."
3,"AUTORIZA O PODER EXECUTIVO A INSTITUIR TARIFA ZERO PARA O TRANSPORTE COLETIVO URBANO NO MUNICÍPIO, E DÁ OUTRAS PROVIDÊNCIAS”",Instituir tarifa zero para o transporte coletivo urbano no município.
5,"DISPÕE SOBRE A CRIAÇÃO DE UM APLICATIVO MÓVEL DENOMINADO DE “PROGRAMA SAÚDE AO ALCANCE”, DESTINADO PARA MARCAÇÃO DE CONSULTAS E EXAMES MÉDICOS, NO ÂMBITO DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Criar aplicativo móvel para marcação de consultas e exames médicos no município.
6,DISPÕE SOBRE A CRIAÇÃO DA CLINICA VETERINÁRIO PUBLICO NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar clínica veterinária pública no município.
7,"Institui programa de formação continuada para os trabalhadores e trabalhadoras dos serviços de atendimento às mulheres vítimas de violência de gênero, e dá outras providências.",Criar programa de formação continuada para trabalhadores dos serviços de atendimento a mulheres vítimas de violência de gênero.
8,"Institui o Projeto Criança Cidadã para emissão de registro de nascimento dentro das maternidades públicas, e dá outras providências.",Emitir registros de nascimento dentro das maternidades públicas.
9,"Dispõe sobre a implantação do Centro Integrado de Pediatria - CIPED no Município de Marabá, Estado do Pará, e dá outras providências.",Criar centro integrado de pediatria no município.
11,"Anteprojeto de Lei N°.02/2025 - Dispõe sobre a criação do Festival de Bandas de Fanfarras na semana da Pátria no Município de Marabá, e dá outras providências.",Criar festival de bandas de fanfarras na Semana da Pátria no município.
12,"""Autoriza a Implantação de uma unidade de terapia para tratamento de crianças com transtorno do espectro autista (TEA) no bairro São Félix- Marabá/PA.""",Implantar unidade de terapia para tratamento de crianças com transtorno do espectro autista (TEA) no bairro São Félix.
13,"Institui o Programa Municipal de Reabilitação Oral para Mulheres Vítimas de Violência Doméstica no âmbito do Sistema Único de Saúde (SUS), e dá outras providências.",Criar programa municipal de reabilitação oral para mulheres vítimas de violência doméstica no âmbito do SUS.
14,"Dispõe sobre o fornecimento gratuito de uniforme aos alunos da rede pública municipal de ensino, em conformidade com a Lei de Diretrizes e Bases da Educação Nacional (Lei nº 9.394/1996) e a Lei nº 12.101/2009.",Fornecer gratuitamente uniformes aos alunos da rede pública municipal de ensino.
15,"Dispõe sobre a obrigatoriedade dos estabelecimentos de ensino da rede municipal em fornecer merenda escolar diferenciada e adequada para alunos com diabetes, doença celíaca e intolerância à lactose, em conformidade com os princípios da dignidade da pessoa humana e do direito à educação, previstos na Constituição Federal.","Obrigar estabelecimentos de ensino da rede municipal a fornecerem merenda escolar diferenciada e adequada para alunos com diabetes, doença celíaca e intolerância à lactose."
16,"Dispõe sobre a implementação do programa de castração de cães e gatos por meio de Unidade Móvel (Castramóvel) no Município de Marabá, Estado do Pará, visando o controle populacional e a promoção da saúde animal.","Implementar programa de castração de cães e gatos por meio de unidade móvel (Castramóvel) no município, visando o controle populacional e a promoção da saúde animal."
17,"Institui o programa municipal de Equoterapia no município de Marabá, voltado para o atendimento de pessoas com deficiência e autismo, e dá outras providências.",Criar programa municipal de equoterapia voltado ao atendimento de pessoas com deficiência e autismo no município.
18,"INSTITUI A REDE DE PROTEÇÃO, RESPEITO E CUIDADO ÀS MÃES DE NATIMORTO E COM ÓBITO FETAL NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.","Criar rede de proteção, respeito e cuidado às mães de natimorto e com óbito fetal no município."
20,"Altera o inciso I do art. 1º da Lei Municipal nº 17.343, de 16 de junho de 2009, para estabelecer o reajuste do vale alimentação.",Reajustar o valor do vale-alimentação dos servidores municipais abrangidos pela Lei nº 17.343/2009.
21,Institui o Cartão Receita para a renovação simplificada de receitas médicas de pacientes com doenças crônicas e dá outras providências.,Simplificar a renovação de receitas médicas de pacientes com doenças crônicas por meio do Cartão Receita.
22,Dispõe sobre a autorização do uso alternativo de QR Code ou meios digitais para informações especifica e dá outras providências.,Autorizar o uso de QR Code e outros meios digitais para disponibilizar informações específicas.
