,municipio,codigo,uf,ano,semestre,taxa_matriculas_100k
0,ACRELANDIA,1200013.0,AC,2013,,30696.81
1,ACRELANDIA,1200013.0,AC,2014,,30247.49
2,ACRELANDIA,1200013.0,AC,2015,,25725.7
3,ACRELANDIA,1200013.0,AC,2016,,27893.87
4,ACRELANDIA,1200013.0,AC,2017,,29598.46
5,ACRELANDIA,1200013.0,AC,2018,,27786.89
6,ACRELANDIA,1200013.0,AC,2019,,25369.09
7,ACRELANDIA,1200013.0,AC,2020,,27465.94
8,ACRELANDIA,1200013.0,AC,2021,,28086.44
9,ACRELANDIA,1200013.0,AC,2022,,26296.27
10,ACRELANDIA,1200013.0,AC,2023,,23329.29
11,ACRELANDIA,1200013.0,AC,2024,,20333.79
12,ASSIS BRASIL,1200054.0,AC,2013,,37716.05
13,ASSIS BRASIL,1200054.0,AC,2014,,36135.8
14,ASSIS BRASIL,1200054.0,AC,2015,,36913.58
15,ASSIS BRASIL,1200054.0,AC,2016,,36864.2
16,ASSIS BRASIL,1200054.0,AC,2017,,39061.73
17,ASSIS BRASIL,1200054.0,AC,2018,,40419.75
18,ASSIS BRASIL,1200054.0,AC,2019,,39111.11
19,ASSIS BRASIL,1200054.0,AC,2020,,40296.3
20,ASSIS BRASIL,1200054.0,AC,2021,,41691.36
21,ASSIS BRASIL,1200054.0,AC,2022,,46716.05
22,ASSIS BRASIL,1200054.0,AC,2023,,42469.14
23,ASSIS BRASIL,1200054.0,AC,2024,,38839.51
24,BRASILEIA,1200104.0,AC,2013,,26842.31
25,BRASILEIA,1200104.0,AC,2014,,23084.62
26,BRASILEIA,1200104.0,AC,2015,,24484.62
27,BRASILEIA,1200104.0,AC,2016,,26134.62
28,BRASILEIA,1200104.0,AC,2017,,26942.31
29,BRASILEIA,1200104.0,AC,2018,,20553.85
30,BRASILEIA,1200104.0,AC,2019,,22115.38
31,BRASILEIA,1200104.0,AC,2020,,22411.54
32,BRASILEIA,1200104.0,AC,2021,,22134.62
33,BRASILEIA,1200104.0,AC,2022,,22923.08
34,BRASILEIA,1200104.0,AC,2023,,21692.31
35,BRASILEIA,1200104.0,AC,2024,,21265.38
36,BUJARI,1200138.0,AC,2013,,25586.44
37,BUJARI,1200138.0,AC,2014,,26290.93
